Network,Station,Latitude,Longitude,Elevation
1A,WP01,33.8405,-103.867302,1362.0
1A,WP02,32.591,-104.691704,1276.0
1A,WP03,32.491699,-104.515503,1272.0
1A,WP04,32.355202,-103.398499,1055.0
1A,WP05,32.264099,-103.879097,1043.0
1A,WP06,32.472599,-103.6343,1189.0
2D,CPA2,33.41564,-106.42682,1791.0
2D,CPA3,33.41528,-106.42422,1876.0
2D,E75NE,33.52572,-105.51639,1931.0
2D,E75NW,33.52524,-105.52387,1965.0
2D,E75SE,33.52182,-105.51933,1937.0
2D,E75SW,33.52017,-105.52563,1955.0
2D,N30CN,36.24936,-105.88982,2109.0
2D,N30CS,36.24667,-105.88869,2116.0
2D,N30NE,36.2543,-105.88112,2117.0
2D,N30NW,36.25351,-105.89539,2130.0
2D,N30SE,36.24336,-105.88268,2115.0
2D,N30SW,36.24199,-105.89442,2114.0
2D,N34C,36.57268,-105.75636,2196.0
2D,N34CE,36.57465,-105.75161,2190.0
2D,N34CN,36.57612,-105.75851,2213.0
2D,N34CS,36.56902,-105.75381,2180.0
2D,N34CW,36.57071,-105.76038,2202.0
2D,N34NE,36.57906,-105.74481,2189.0
2D,N34NW,36.58193,-105.76486,2238.0
2D,N34SE,36.56182,-105.75,2179.0
2D,N34SW,36.56435,-105.77022,2201.0
2D,N38CN,36.84652,-105.9477,2525.0
2D,N38CS,36.84292,-105.94946,2533.0
2D,N38NE,36.85066,-105.94092,2501.0
2D,N38NW,36.84904,-105.95472,2525.0
2D,N38SE,36.83933,-105.94431,2549.0
2D,N38SW,36.83828,-105.95766,2549.0
2D,NIS01,33.58932,-106.51945,1451.0
2D,NIS02,33.68668,-106.51437,1462.0
2D,NIS03,33.68159,-106.51202,1454.0
2D,NIS04,33.6784,-106.51325,1453.0
2D,NIS05,33.67468,-106.51651,1449.0
2D,NIS06,33.67267,-106.52283,1449.0
2D,NIS07,33.67044,-106.52832,1450.0
2D,NIS08,33.67044,-106.53555,1442.0
